Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
4	7	8	1	12	4	YNL115C
4	7	15	1	12	5	YPR077C
4	7	16	1	12	6	YMR081C
4	7	18	1	12	7	YLR376C
4	7	20	1	12	8	YLR360W
4	7	24	1	12	9	YHL013C
4	8	1	1	12	10	YGR252W
4	8	3	1	12	11	YDL052C
4	8	5	1	12	12	YFL054C
4	8	7	1	12	13	YGL128C
4	8	11	1	12	14	YFL027C
4	8	14	1	12	15	YBR128C
4	8	15	1	12	16	YFR005C
4	8	16	1	12	17	YAL061W
4	8	17	1	12	18	YCR052W
4	8	18	1	12	19	YBL086C
4	8	20	1	12	20	YBL054W
4	8	21	1	12	21	YOL137W
4	8	23	1	12	22	YPL054W
4	9	1	1	12	23	YHR072W
4	9	4	1	12	24	YMR215W
4	9	5	1	13	1	YKR025W
4	9	8	1	13	2	YNR009W
4	9	9	1	13	3	YFL006W
4	9	14	1	13	4	YMR018W
4	9	16	1	13	5	YMR145C
4	9	17	1	13	6	YCL059C
4	9	18	1	13	7	YLR126C
4	9	20	1	13	8	YLR142W
4	9	22	1	13	9	YLR453C
4	9	23	1	13	10	YNL079C
4	10	2	1	13	11	YIL084C
4	10	5	1	13	12	YGL234W
4	10	7	1	13	13	YGL001C
4	10	11	1	13	14	YEL052W
4	10	16	1	13	15	YBL055C
4	10	19	1	13	16	YNR039C
4	10	22	1	13	17	YGR110W
4	10	23	1	13	18	YPL069C
4	11	2	1	13	19	YMR180C
4	11	4	1	13	20	YMR258C
4	11	5	1	13	21	YKL162C
4	11	6	1	13	22	YNL009W
4	11	8	1	13	23	YNR027W
4	11	14	1	13	24	YMR014W
4	11	15	1	14	1	YPR102C
4	11	23	1	14	2	YNL300W
4	12	5	1	14	3	YEL016C
4	12	6	1	14	4	YBL029W
4	12	7	1	14	5	YGL038C
4	12	8	1	14	6	YPL087W
4	12	9	1	14	7	YER154W
4	12	10	1	14	8	YFL005W
4	12	13	1	14	9	YGL067W
4	12	16	1	14	10	YBR195C
4	12	19	1	14	11	YOL113W
4	12	21	1	14	12	YOR194C
4	12	24	1	14	13	YIR008C
4	13	3	1	14	14	YCR005C
4	13	4	1	14	15	YMR213W
4	13	6	1	14	16	YNL071W
4	13	10	1	14	17	YML121W
4	13	12	1	14	18	YML083C
4	13	14	1	14	19	YMR013C
4	13	15	1	14	20	YPR086W
4	13	20	1	14	21	YLR135W
4	13	21	1	14	22	YPL182C
4	14	5	1	14	23	YEL062W
4	14	11	1	14	24	YFR050C
4	14	12	1	15	1	YBL010C
4	14	16	1	15	2	YBL046W
4	14	17	1	15	3	YCR067C
4	14	22	1	15	4	YGR002C
4	15	1	1	15	5	YBR211C
4	15	3	1	15	6	YBR293W
4	15	5	1	15	7	YKR051W
4	15	13	1	15	8	YPR038W
4	15	14	1	15	9	YML086C
4	15	15	1	15	10	YPR099C
4	15	17	1	15	11	YCR041W
4	15	20	1	15	12	YLR414C
4	15	21	1	15	13	YPL200W
4	15	22	1	15	14	YLR446W
4	16	6	1	15	15	YGR277C
4	16	19	1	15	16	YOL076W
4	16	20	1	15	17	YGR104C
4	16	22	1	15	18	YGL252C
5	1	4	1	15	19	YDL059C
5	1	5	1	15	20	YCR016W
5	1	6	1	15	21	YNL049C
5	1	7	1	15	22	YGR238C
5	1	8	1	15	23	YMR108W
5	1	9	1	15	24	YFR046C
5	1	10	1	16	1	YLR093C
5	1	11	1	16	2	YDR503C
5	1	12	1	16	3	YJR159W
5	1	14	1	16	4	YJL151C
5	1	15	1	16	5	YIL067C
5	1	16	1	16	6	YBL002W
5	1	17	1	16	7	YIR014W
5	1	21	1	16	8	YPR033C
5	1	22	1	16	9	YNL311C
5	1	23	1	16	10	YPL256C
5	2	4	1	16	11	YJR111C
5	2	11	1	16	12	YER048C
5	2	13	1	16	13	YGL240W
5	2	14	1	16	14	YPL232W
5	2	19	1	16	15	YNR008W
5	2	21	1	16	16	YFR055W
5	2	22	1	16	17	YMR226C
5	2	23	1	16	18	YDL227C
5	2	24	1	16	19	YGR241C
5	3	1	1	16	20	YJL049W
5	3	2	1	16	21	YPR124W
5	3	4	1	16	22	YDR541C
5	3	5	1	16	23	YCR072C
5	3	6	1	16	24	YNL065W
5	3	7	2	1	1	YGR204W
5	3	8	2	1	2	YMR160W
5	3	10	2	1	3	YLR094C
5	3	11	2	1	4	YER106W
5	3	14	2	1	5	YJL183W
5	3	15	2	1	6	YIL108W
5	3	16	2	1	7	YER102W
5	3	19	2	1	8	YLR450W
5	3	20	2	1	9	YOL130W
5	3	21	2	1	10	YDR518W
5	3	22	2	1	11	YNL317W
5	4	2	2	1	12	YDR490C
5	4	3	2	1	13	YJL160C
5	4	5	2	1	14	YML004C
5	4	7	2	1	15	YDL047W
5	4	8	2	1	16	YPL048W
5	4	10	2	1	17	YLR080W
5	4	11	2	1	18	YER028C
5	4	15	2	1	19	YGL263W
5	4	16	2	1	20	YPR110C
5	4	17	2	1	21	YKL093W
5	4	20	2	1	22	YMR091C
5	4	21	2	1	23	YER177W
5	4	22	2	1	24	YAR031W
5	4	23	2	2	1	YAL011W
5	4	24	2	2	2	YGR260W
5	5	1	2	2	3	YJL025W
5	5	2	2	2	4	YPR129W
5	5	6	2	2	5	YDL090C
5	5	7	2	2	6	YHL011C
5	5	8	2	2	7	YNL002C
5	5	9	2	2	8	YPR027C
5	5	10	2	2	9	YLR173W
5	5	13	2	2	10	YIL064W
5	5	15	2	2	11	YIL107C
5	5	16	2	2	12	YNL333W
5	5	17	2	2	13	YBR234C
5	5	20	2	2	14	YOL139C
5	5	21	2	2	15	YDR485C
5	5	22	2	2	16	YNR033W
5	5	23	2	2	17	YPR008W
5	5	24	2	2	18	YBR297W
5	6	1	2	2	19	YHL014C
5	6	2	2	2	20	YER069W
5	6	3	2	2	21	YFR052W
5	6	4	2	2	22	YOR047C
5	6	10	2	2	23	YLR166C
5	6	17	2	2	24	YKL132C
5	6	19	2	3	1	YPL050C
5	6	20	2	3	2	YMR153W
5	6	22	2	3	3	YAR071W
5	6	23	2	3	4	YDR484W
5	7	3	2	3	5	YJR049C
5	7	4	2	3	6	YPL133C
5	7	6	2	3	7	YNL330C
5	7	7	2	3	8	YFL001W
5	7	8	2	3	9	YNL005C
5	7	9	2	3	10	YPR066W
5	7	12	2	3	11	YBR294W
5	7	15	2	3	12	YIL038C
5	7	16	2	3	13	YFL061W
5	7	17	2	3	14	YBR246W
5	7	19	2	3	15	YNL066W
5	7	21	2	3	16	YEL040W
5	8	4	2	3	17	YOR046C
5	8	5	2	3	18	YLR368W
5	8	6	2	3	19	YOR348C
5	8	8	2	3	20	YPL100W
5	8	10	2	3	21	YLR287C-A
5	8	12	2	3	22	YLR194C
5	8	13	2	3	23	YGL162W
5	8	14	2	3	24	YPL201C
5	8	15	2	4	1	YGL208W
5	8	17	2	4	2	YKL124W
5	8	20	2	4	3	YMR065W
5	8	21	2	4	4	YGL228W
