Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
1	16	8	1	12	19	YDR482C
1	16	9	1	12	20	YOR069W
1	16	10	1	12	21	YFR012W
1	16	11	1	12	22	YOR057W
1	16	12	1	12	23	YGR105W
1	16	14	1	12	24	YGR109W-A
1	16	15	1	13	1	YBR165W
1	16	16	1	13	2	YGR043C
1	16	17	1	13	3	YBR034C
1	16	21	1	13	4	YDL165W
1	16	22	1	13	5	YIL070C
1	16	23	1	13	6	YDL213C
2	1	6	1	13	7	YNL306W
2	2	14	1	13	8	YKL122C
2	2	16	1	13	9	YKL177W
2	2	22	1	13	10	YGR280C
2	3	1	1	13	11	YHR054C
2	3	3	1	13	12	YMR043W
2	3	14	1	13	13	YDL135C
2	3	16	1	13	14	YDR486C
2	3	24	1	13	15	YLR066W
2	4	1	1	13	16	YLR250W
2	4	2	1	13	17	YBL090W
2	4	4	1	13	18	YIL010W
2	4	5	1	13	19	YLR393W
2	4	6	1	13	20	YJL079C
2	4	7	1	13	21	YML092C
2	4	8	1	13	22	YKL193C
2	4	12	1	13	23	YJL004C
2	4	13	1	13	24	YJL184W
2	4	18	1	14	1	YPR133W-A
2	4	24	1	14	2	YKL196C
2	5	2	1	14	3	YMR007W
2	5	6	1	14	4	YPL148C
2	5	7	1	14	5	YPR158C-C
2	5	8	1	14	6	YPR053C
2	5	10	1	14	7	YCR022C
2	6	4	1	14	8	YIL035C
2	6	5	1	14	9	YLR445W
2	6	6	1	14	10	YJL124C
2	6	8	1	14	11	YKR005C
2	6	9	1	14	12	YIR009W
2	6	12	1	14	13	YJL011C
2	6	19	1	14	14	YGR082W
2	6	23	1	14	15	YHR089C
2	7	2	1	14	16	YMR151W
2	7	4	1	14	17	YBR188C
2	7	5	1	14	18	YMR030W
2	7	6	1	14	19	YPL144W
2	7	8	1	14	20	YPR146C
2	7	18	1	14	21	YBR120C
2	7	24	1	14	22	YLR065C
2	8	4	1	14	23	YIL025C
2	8	5	1	14	24	YLR456W
2	8	6	1	15	1	YJL185C
2	8	12	1	15	2	YJL032W
2	8	20	1	15	3	YGR215W
2	8	23	1	15	4	YHR157W
2	8	24	1	15	5	YKL208W
2	9	1	1	15	6	YIR004W
2	9	2	1	15	7	YMR174C
2	9	8	1	15	8	YCL058C
2	9	16	1	15	9	YDR504C
2	9	22	1	15	10	YLR012C
2	9	24	1	15	11	YLR074C
2	10	7	1	15	12	YML113W
2	10	14	1	15	13	YKL158W
2	10	16	1	15	14	YMR082C
2	10	17	1	15	15	YGR025W
2	10	23	1	15	16	YHR179W
2	11	1	1	15	17	YJR124C
2	11	2	1	15	18	YMR166C
2	11	5	1	15	19	YPR061C
2	11	8	1	15	20	YCL076W
2	11	10	1	15	21	YCR086W
2	11	22	1	15	22	YLR021W
2	12	7	1	15	23	YMR002W
2	12	15	1	15	24	YKL063C
2	12	16	1	16	1	YNL296W
2	12	19	1	16	2	YGR114C
2	12	20	1	16	3	YGR247W
2	12	24	1	16	4	YKR083C
2	13	1	1	16	5	YMR193W
2	13	2	1	16	6	YMR202W
2	13	4	1	16	7	YMR286W
2	13	20	1	16	8	YLL062C
2	13	22	1	16	9	YLR025W
2	14	3	1	16	10	YLR385C
2	14	5	1	16	11	YML030W
2	14	12	1	16	12	YKL086W
2	14	14	1	16	13	YKL153W
2	14	20	1	16	14	YGR275W
2	14	22	1	16	15	YGL220W
2	14	23	1	16	16	YHR193C
2	14	24	1	16	17	YMR038C
2	15	1	1	16	18	YMR312W
2	15	12	1	16	19	YDL115C
2	15	20	1	16	20	YLL059C
2	16	1	1	16	21	YLR296W
2	16	2	1	16	22	YHR210C
2	16	14	1	16	23	YKL147C
